participant;condition;layout;chats;part;topic;last_response_time
1;A;1;3;3;Pöytätenniksen säännöt;8,38
1;A;1;3;3;Arkkupakastin;23,93
1;A;1;3;3;Cheerleadingin kilpailusäännöt;3,73
1;B;2;3;4;Taekwondon kilpailusäännöt;25,13
1;B;2;3;4;Langattomat Bluetooth-kuulokkeet;35,40
1;C;1;4;1;Pyykinpesukone;9,15
1;D;2;4;2;Päältäajettava ruohonleikkuri;46,79
1;D;2;4;2;Uuni;2,38
1;D;2;4;2;Kiuas;1,86
1;D;2;4;2;Kuivauskaappi;23,96
2;A;1;3;2;Koripallon pelisäännöt;4,36
2;A;1;3;2;Astianpesukone;7,91
2;A;1;3;2;Pyykinpesukone;2,91
2;B;2;3;3;Mankeli;13,62
2;B;2;3;3;Agility;24,40
2;C;1;4;4;Arkkupakastin;14,32
2;C;1;4;4;Pöytätenniksen säännöt;32,17
3;A;1;3;2;Astianpesukone;1,87
3;A;1;3;2;Langattomat Bluetooth-kuulokkeet;2,38
3;A;1;3;2;Ompelukone;11,71
3;B;2;3;4;Päältäajettava ruohonleikkuri;2,35
3;B;2;3;4;Miekkailu;2,41
3;B;2;3;4;Nelikopteri;2,76
3;C;1;4;3;Mankeli;4,83
3;C;1;4;3;Kuivauskaappi;3,25
3;C;1;4;3;Painepesuri;4,28
4;A;1;3;4;Lämpöpumppu;22,26
4;A;1;3;4;Tenniksen kilpailumääräykset;18,25
4;A;1;3;4;Pöytätenniksen säännöt;51,10
4;B;2;3;2;Pyykinpesukone;50,90
4;B;2;3;2;Päältäajettava ruohonleikkuri;49,06
4;B;2;3;2;Liesituuletin;3,09
4;C;1;4;3;Miekkailu;2,08
4;D;2;4;1;Koripallon pelisäännöt;2,73
4;D;2;4;1;Mankeli;43,78
4;D;2;4;1;Kuivausrumpu;4,33
5;A;1;3;4;Cheerleadingin kilpailusäännöt;2,90
5;A;1;3;4;Liesituuletin;11,49
5;A;1;3;4;Kamiina;3,02
5;B;2;3;3;Miekkailu;10,84
5;B;2;3;3;Jalkapallosäännöt;2,31
5;B;2;3;3;Koripallon pelisäännöt;3,09
5;C;1;4;2;Päältäajettava ruohonleikkuri;2,75
6;A;1;3;1;Mankeli;21,95
6;A;1;3;1;Pöytätenniksen säännöt;6,00
6;A;1;3;1;Taekwondon kilpailusäännöt;2,58
6;B;2;3;2;Päältäajettava ruohonleikkuri;19,90
6;B;2;3;2;Miekkailu;6,24
6;C;1;4;3;Jalkapallosäännöt;11,97
6;C;1;4;3;Kuivausrumpu;33,40
6;D;2;4;4;Pyykinpesukone;49,52
6;D;2;4;4;Ompelukone;24,22
7;A;1;3;1;Televisio;13,91
7;A;1;3;1;Ompelukone;14,33
7;A;1;3;1;Kiuas;2,30
7;B;2;3;2;Koripallon pelisäännöt;3,52
7;B;2;3;2;Painepesuri;63,92
7;B;2;3;2;Miekkailu;10,50
7;C;1;4;4;Päältäajettava ruohonleikkuri;52,11
7;C;1;4;4;Pyykinpesukone;80,32
7;C;1;4;4;Cheerleadingin kilpailusäännöt;10,88
7;D;2;4;3;Pöytätenniksen säännöt;45,08
7;D;2;4;3;Mankeli;5,25
7;D;2;4;3;Jalkapallosäännöt;50,71
7;D;2;4;3;Uuni;19,75
8;A;1;3;1;Miekkailu;3,71
8;A;1;3;1;Agility;4,95
8;B;2;3;3;Astianpesukone;16,89
8;B;2;3;3;Langattomat Bluetooth-kuulokkeet;64,86
8;B;2;3;3;Painepesuri;8,18
8;C;1;4;2;Kuivauskaappi;51,04
8;C;1;4;2;Taekwondon kilpailusäännöt;2,09
8;C;1;4;2;Tenniksen kilpailumääräykset;17,94
8;C;1;4;2;Mankeli;18,50
8;D;2;4;4;Arkkupakastin;35,07
8;D;2;4;4;Kuivausrumpu;2,12
9;A;1;3;1;Mankeli;48,43
9;A;1;3;1;Kuivauskaappi;12,51
9;B;2;3;4;Jalkapallosäännöt;24,10
9;B;2;3;4;Ompelukone;2,21
9;B;2;3;4;Taekwondon kilpailusäännöt;3,21
9;C;1;4;2;Langattomat Bluetooth-kuulokkeet;39,84
9;C;1;4;2;Päältäajettava ruohonleikkuri;12,09
9;C;1;4;2;Astianpesukone;3,89
9;C;1;4;2;Cheerleadingin kilpailusäännöt;22,82
9;D;2;4;3;Koripallon pelisäännöt;38,43
10;A;1;3;1;Kuivauskaappi;61,71
10;A;1;3;1;Tenniksen kilpailumääräykset;57,52
10;B;2;3;3;Ompelukone;6,93
10;B;2;3;3;Kamiina;2,38
10;C;1;4;4;Agility;30,82
10;C;1;4;4;Päältäajettava ruohonleikkuri;2,49
10;D;2;4;2;Televisio;21,19
11;A;1;3;2;Lämpöpumppu;1,58
11;A;1;3;2;Langattomat Bluetooth-kuulokkeet;2,15
11;B;2;3;1;Koripallon pelisäännöt;4,40
11;B;2;3;1;Arkkupakastin;5,37
11;B;2;3;1;Pöytätenniksen säännöt;40,05
11;C;1;4;3;Cheerleadingin kilpailusäännöt;5,79
11;C;1;4;3;Mikroaaltouuni;5,18
11;C;1;4;3;Ompelukone;29,02
11;D;2;4;4;Uuni;11,73
11;D;2;4;4;Pyykinpesukone;24,74
11;D;2;4;4;Päältäajettava ruohonleikkuri;7,28
11;D;2;4;4;Jalkapallosäännöt;8,17
12;A;1;3;2;Miekkailu;21,78
12;B;2;3;1;Pöytätenniksen säännöt;53,84
12;C;1;4;4;Pyykinpesukone;2,22
12;C;1;4;4;Mankeli;20,48
12;D;2;4;3;Agility;56,50
13;A;1;3;3;Langattomat Bluetooth-kuulokkeet;22,54
13;A;1;3;3;Kuivauskaappi;44,79
13;B;2;3;1;Kuivausrumpu;3,07
13;B;2;3;1;Cheerleadingin kilpailusäännöt;12,60
13;B;2;3;1;Grilli;2,50
13;C;1;4;2;Pöytätenniksen säännöt;3,06
13;C;1;4;2;Painepesuri;6,93
13;D;2;4;4;Ompelukone;65,88
13;D;2;4;4;Arkkupakastin;55,11
13;D;2;4;4;Astianpesukone;12,45
13;D;2;4;4;Uuni;4,04
14;A;1;3;4;Televisio;1,61
14;A;1;3;4;Koripallon pelisäännöt;7,98
14;A;1;3;4;Nelikopteri;1,93
14;A;1;3;4;Pöytätenniksen säännöt;2,18
14;B;2;3;1;Päältäajettava ruohonleikkuri;4,77
14;B;2;3;1;Kuivausrumpu;1,92
14;B;2;3;1;Cheerleadingin kilpailusäännöt;2,64
14;C;1;4;2;Kuivauskaappi;13,79
14;C;1;4;2;Grilli;1,87
14;C;1;4;2;Ompelukone;1,84
14;C;1;4;2;Miekkailu;17,58
14;D;2;4;3;Jalkapallosäännöt;2,39
15;A;1;3;3;Lämpöpumppu;2,85
15;A;1;3;3;Painepesuri;17,47
15;A;1;3;3;Arkkupakastin;36,94
15;B;2;3;1;Tenniksen kilpailumääräykset;4,73
15;B;2;3;1;Kuivauskaappi;10,89
15;C;1;4;4;Televisio;32,68
15;C;1;4;4;Miekkailu;11,72
15;C;1;4;4;Grilli;57,36
15;D;2;4;2;Astianpesukone;4,15
16;A;1;3;4;Jalkapallosäännöt;33,38
16;A;1;3;4;Mankeli;9,37
16;A;1;3;4;Astianpesukone;25,68
16;B;2;3;1;Liesituuletin;12,73
16;B;2;3;1;Mikroaaltouuni;3,30
16;B;2;3;1;Pöytätenniksen säännöt;28,96
16;C;1;4;3;Kuivausrumpu;36,81
16;C;1;4;3;Päältäajettava ruohonleikkuri;39,81
16;C;1;4;3;Agility;17,81
16;C;1;4;3;Arkkupakastin;8,39
16;D;2;4;2;Tenniksen kilpailumääräykset;71,53
17;A;1;3;2;Nelikopteri;3,40
17;A;1;3;2;Miekkailu;2,81
17;A;1;3;2;Liesituuletin;9,70
17;B;2;3;4;Ompelukone;34,36
17;B;2;3;4;Kuivausrumpu;25,16
17;B;2;3;4;Mankeli;18,38
17;C;1;4;1;Cheerleadingin kilpailusäännöt;14,52
17;C;1;4;1;Jalkapallosäännöt;1,74
17;D;2;4;3;Päältäajettava ruohonleikkuri;36,19
17;D;2;4;3;Pyykinpesukone;52,35
17;D;2;4;3;Astianpesukone;2,94
18;A;1;3;3;Kiuas;8,27
18;A;1;3;3;Agility;19,11
18;A;1;3;3;Arkkupakastin;37,83
18;B;2;3;2;Tenniksen kilpailumääräykset;14,75
18;B;2;3;2;Kuivauskaappi;4,33
18;C;1;4;1;Päältäajettava ruohonleikkuri;2,69
18;D;2;4;4;Jalkapallosäännöt;59,71
18;D;2;4;4;Ompelukone;17,08
19;A;1;3;4;Televisio;3,64
19;A;1;3;4;Grilli;2,10
19;A;1;3;4;Ompelukone;2,03
19;B;2;3;2;Arkkupakastin;13,70
20;A;1;3;4;Langattomat Bluetooth-kuulokkeet;8,80
20;A;1;3;4;Taekwondon kilpailusäännöt;1,93
20;A;1;3;4;Nelikopteri;7,62
20;A;1;3;4;Tenniksen kilpailumääräykset;2,41
20;B;2;3;3;Miekkailu;2,29
20;B;2;3;3;Cheerleadingin kilpailusäännöt;2,46
20;B;2;3;3;Painepesuri;17,21
20;B;2;3;3;Päältäajettava ruohonleikkuri;10,39
20;C;1;4;1;Jalkapallosäännöt;2,23
20;C;1;4;1;Agility;10,10
20;D;2;4;2;Kamiina;2,89
20;D;2;4;2;Generaattori;13,37
20;D;2;4;2;Mankeli;26,07
21;A;1;3;3;Astianpesukone;4,22
21;A;1;3;3;Mikroaaltouuni;3,00
21;B;2;3;2;Taekwondon kilpailusäännöt;2,33
21;B;2;3;2;Kuivauskaappi;6,46
21;B;2;3;2;Kamiina;18,28
21;C;1;4;4;Tenniksen kilpailumääräykset;13,38
21;C;1;4;4;Grilli;2,12
21;D;2;4;1;Cheerleadingin kilpailusäännöt;31,74
21;D;2;4;1;Lämpöpumppu;32,32
21;D;2;4;1;Mankeli;47,49
22;A;1;3;3;Agility;1,73
22;A;1;3;3;Ompelukone;1,81
22;B;2;3;4;Generaattori;1,85
22;B;2;3;4;Grilli;2,35
22;C;1;4;2;Cheerleadingin kilpailusäännöt;50,99
22;C;1;4;2;Miekkailu;3,62
22;C;1;4;2;Lämpöpumppu;9,11
22;C;1;4;2;Painepesuri;2,40
22;D;2;4;1;Päältäajettava ruohonleikkuri;14,14
23;A;1;3;1;Arkkupakastin;13,03
23;A;1;3;1;Tenniksen kilpailumääräykset;1,90
23;B;2;3;4;Cheerleadingin kilpailusäännöt;4,14
23;B;2;3;4;Painepesuri;2,14
23;B;2;3;4;Kamiina;21,31
23;C;1;4;3;Agility;10,52
23;C;1;4;3;Pöytätenniksen säännöt;13,88
23;C;1;4;3;Mankeli;6,02
23;C;1;4;3;Ompelukone;3,52
23;D;2;4;2;Päältäajettava ruohonleikkuri;22,02
23;D;2;4;2;Mikroaaltouuni;6,13
23;D;2;4;2;Pyykinpesukone;39,89
23;D;2;4;2;Koripallon pelisäännöt;14,69
24;A;1;3;2;Generaattori;1,41
24;A;1;3;2;Pöytätenniksen säännöt;1,79
24;A;1;3;2;Ompelukone;1,74
24;B;2;3;3;Mikroaaltouuni;14,81
24;B;2;3;3;Astianpesukone;2,73
24;B;2;3;3;Painepesuri;12,88
24;D;2;4;4;Kuivauskaappi;3,43
24;D;2;4;4;Taekwondon kilpailusäännöt;11,97