topic;condition_A;condition_B;condition_C;condition_D;part_1;part_2;part_3;part_4
Pyykinpesukone;3;3;6;6;3;5;5;5
Koripallon pelisäännöt;4;4;6;6;4;7;5;4
Kamiina;3;8;6;5;5;5;4;8
Lämpöpumppu;7;2;10;4;9;6;5;3
Nelikopteri;6;8;2;5;4;6;4;7
Päältäajettava ruohonleikkuri;1;5;8;6;3;7;5;5
Uuni;2;5;5;6;4;6;6;2
Kiuas;5;3;3;4;3;5;4;3
Kuivauskaappi;7;5;4;2;5;9;2;2
Kuivausrumpu;3;3;5;8;7;5;4;3
Mankeli;4;5;5;6;7;5;4;4
Astianpesukone;10;3;2;7;4;7;5;6
Tenniksen kilpailumääräykset;5;5;7;5;5;9;3;5
Pöytätenniksen säännöt;8;4;4;2;5;4;6;3
Arkkupakastin;5;6;5;3;5;3;4;7
Cheerleadingin kilpailusäännöt;3;6;7;4;5;5;4;6
Ompelukone;8;5;3;5;3;3;7;8
Jalkapallosäännöt;4;4;6;4;4;2;6;6
Televisio;6;3;5;6;5;3;5;7
Taekwondon kilpailusäännöt;8;5;3;3;2;5;2;10
Jääkaappi;7;3;8;1;5;4;4;6
Langattomat Bluetooth-kuulokkeet;6;6;5;6;3;6;5;9
Miekkailu;3;7;10;2;3;9;6;4
Painepesuri;3;7;4;3;5;4;5;3
Liesituuletin;4;2;4;10;3;5;6;6
Agility;5;5;6;4;2;5;9;4
Mikroaaltouuni;4;3;5;7;3;1;9;6
Grilli;1;4;4;3;2;2;3;5
Generaattori;1;3;2;5;3;3;2;3